Domain,Phylum,Class,Order,Family,Genus,Species,N.vespillo_b,N.vsps_n,N.vsps_p,N.vsps_o,Yab_fpj_1,Yab_fpj_2,Yaj_fpb_1,Yaa_fpi_1,Yaa_fpi_2,Yai_fpa_1,Yai_fpa_2,N.vsps_j,Yai_fpa_3,Yai_fpa_4,Yal_fpd_1,Yal_fpd_2,Yal_fpd_3,Yaq_fpr_1,Yaq_fpr_2,Yam_fpn_1,Yam_fpn_2,Yam_fpn_3,N.vespillo_a,Yan_fpm_1,Yan_fpm_2,Yan_fpm_3,Yao_fpp_1,Yao_fpp_2,Yao_fpp_3,Yam_fpn_4_fed,Yam_fpn_5_fed,Yam_fpn_6_fed,Yan_fpm_4_fed,N.vsps_i,Yan_fpm_5_fed,Yan_fpm_6_fed,Yao_fpp_4_fed,Yao_fpp_5_fed,Yao_fpp_6_fed,Positive_control,Negative_control_1,Negative_control_2,N.vespillo_d,N.vsps_l,N.vespillo_q,N.vespillo_r,N.vsps_m,N.int_f1,N.vespillo_f2,N.vespillo_f3,N.vespillo_m1,N.vespillo_m2,N. vespilloides_f_open1,N. vespilloides_f_open2,N. vespilloides_f_open3,N. vespilloides_f_open4,N.int_m4,N.vespilloides_m_open1,N.int_f2,N.vespilloides_m_open2,N.vespilloides_m_open3,N.vespilloides_m_lab1,N.vespilloides_m_lab2,N.vespilloides_m_lab3,N.vespilloides_m_lab4,N.vespilloides_f_lab1,N.vespilloides_f_lab2,N.vespilloides_f_lab3,N.vespilloides_f_lab4,N.int_f3,N.int_f4,N.vespilloides_m_open4,N.int_m1,N.int_m2,N.int_m3,N.vespillo_f1
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,unclassified,unclassified,97,0,0,2062,0,0,0,0,0,0,18,0,99,63,0,245,277,40,0,27,61,0,0,0,0,71,0,10,13,0,0,18,0,0,0,34,0,0,0,0,32,0,0,0,0,0,9,0,0,0,0,0,51,0,0,0,0,0,0,0,64,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Tissierella,unclassified,109,30,92,46,0,0,0,0,0,0,19,46,0,0,0,0,0,0,6,0,0,0,20,21,9,14,0,0,33,37,0,0,0,160,23,0,0,99,69,0,0,0,0,144,22,10,48,50,76,54,145,0,66,28,0,0,163,85,266,0,79,188,204,89,51,84,309,0,50,0,180,678,223,33,34,137
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,unclassified,0,3,0,0,0,0,0,63,36,0,39,0,0,0,0,0,5,0,20,25,3,0,18,24,0,0,3,0,0,6,0,8,9,0,0,0,7,16,0,3145,1067,91,0,0,15,5,0,0,50,60,0,97,0,3,23,53,40,0,0,0,3,0,0,25,69,130,17,0,0,0,7,0,16,16,0,0
Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,unclassified,0,0,6,0,0,6,0,0,16,0,0,8,9,0,0,0,0,0,7,0,21,0,0,0,6,0,0,0,0,0,5,0,0,0,35,0,10,40,48,901,210,19,0,0,0,21,0,0,0,99,52,10,0,0,0,15,0,19,0,0,0,0,13,0,54,90,102,0,12,0,0,0,0,12,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,unclassified,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2112,863,69,0,0,0,0,0,0,0,42,0,59,0,0,0,0,24,0,14,0,65,19,64,25,0,43,0,11,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2658,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,24,0,36,0,0,40,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,172,0,724,0,159,383,0,0,0,0,0,0,0,0,0,85,59,129,0,381,0
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,uncultured_bacterium,97,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,33,56,50,0,0,0,28,0,0,0,16,0,0,101,0,42,0,67,212,302,115,60,207,453,22,87,0,15,0,104,65,69,130
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Tissierella,uncultured_bacterium,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,27,35,0,0,0,10,0,0,0,0,26,0,10,0,332,185,149,213,121,470,135,81,29,409,128,544,29,146,0,0,31,10,44,0,0,0,0,220,993,135,0,162,124
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unclassified,unclassified,0,6,0,0,0,0,0,0,42,0,0,0,0,0,49,38,4,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,108,6,0,0,0,42,0,0,13,9,0,12,0,22,29,0,0,5,0,0,0,0,0,0,9,80,0,0,17,0,0,0,0,30,4,48
